eNodeb Name,Cell ID,Result,Cell Type,Latitude,Longitude,Carrier,Azimuth
53310,201,No Sector Swap Found,,33.7652199999999,72.3234599999999,L900,50.0
3129,22,No Sector Swap Found,,33.78309,72.36468,L2100,210.0
53232,2,No Sector Swap Found,,33.75503,72.36246,L1800,150.0
53232,3,No Sector Swap Found,,33.75503,72.36246,L1800,300.0
53232,203,No Sector Swap Found,,33.75503,72.36246,L900,300.0
53232,202,No Sector Swap Found,,33.75503,72.36246,L900,150.0
53232,23,No Sector Swap Found,,33.75503,72.36246,L2100,300.0
53232,22,No Sector Swap Found,,33.75503,72.36246,L2100,150.0
53232,1,No Sector Swap Found,,33.75503,72.36246,L1800,30.0
52994,2,No Sector Swap Found,,33.77585,72.39354,L1800,190.0
52994,21,No Sector Swap Found,,33.77585,72.39354,L2100,60.0
52994,1,No Sector Swap Found,,33.77585,72.39354,L1800,60.0
52994,22,No Sector Swap Found,,33.77585,72.39354,L2100,190.0
52994,23,No Sector Swap Found,,33.77585,72.39354,L2100,290.0
52994,203,No Sector Swap Found,,33.77585,72.39354,L900,290.0
52994,3,No Sector Swap Found,,33.77585,72.39354,L1800,290.0
52994,201,No Sector Swap Found,,33.77585,72.39354,L900,60.0
52658,31,No Sector Swap Found,Sector Split,33.77729,72.34199,L2100,45.0
8353,22,No Sector Swap Found,Sector Split,33.76992,72.32643,L2100,145.0
8353,23,No Sector Swap Found,Sector Split,33.76992,72.32643,L2100,255.0
8353,1,No Sector Swap Found,Sector Split,33.76992,72.32643,L1800,40.0
8353,11,No Sector Swap Found,Sector Split,33.76992,72.32643,L1800,70.0
8353,3,No Sector Swap Found,Sector Split,33.76992,72.32643,L1800,255.0
8353,13,No Sector Swap Found,Sector Split,33.76992,72.32643,L1800,285.0
8353,12,No Sector Swap Found,Sector Split,33.76992,72.32643,L1800,175.0
8353,2,No Sector Swap Found,Sector Split,33.76992,72.32643,L1800,145.0
8099,203,Sector Swap Found Between 203 and 201,,33.76625,72.35325,L900,260.0
8099,202,No Sector Swap Found,,33.76625,72.35325,L900,135.0
8099,22,No Sector Swap Found,Sector Split,33.76625,72.35325,L2100,135.0
8099,21,No Sector Swap Found,,33.76625,72.35325,L2100,60.0
8099,13,No Sector Swap Found,Sector Split,33.76625,72.35325,L1800,290.0
8099,201,Sector Swap Found Between 201 and 203,,33.76625,72.35325,L900,60.0
8099,33,No Sector Swap Found,Sector Split,33.76625,72.35325,L2100,290.0
8099,32,No Sector Swap Found,Sector Split,33.76625,72.35325,L2100,165.0
8465,201,No Sector Swap Found,,33.7728,72.3873,L900,10.0
8465,202,No Sector Swap Found,,33.7728,72.3873,L900,85.0
8465,12,No Sector Swap Found,Sector Split,33.7728,72.3873,L1800,115.0
8465,13,No Sector Swap Found,Sector Split,33.7728,72.3873,L1800,255.0
8465,3,No Sector Swap Found,Sector Split,33.7728,72.3873,L1800,225.0
8465,33,No Sector Swap Found,Sector Split,33.7728,72.3873,L2100,255.0
8465,32,No Sector Swap Found,Sector Split,33.7728,72.3873,L2100,115.0
8465,2,No Sector Swap Found,Sector Split,33.7728,72.3873,L1800,85.0
8465,1,No Sector Swap Found,,33.7728,72.3873,L1800,10.0
8353,31,No Sector Swap Found,Sector Split,33.76992,72.32643,L2100,70.0
8353,32,No Sector Swap Found,Sector Split,33.76992,72.32643,L2100,175.0
8353,33,No Sector Swap Found,Sector Split,33.76992,72.32643,L2100,285.0
8353,201,No Sector Swap Found,,33.76992,72.32643,L900,40.0
8353,202,No Sector Swap Found,,33.76992,72.32643,L900,145.0
8353,203,No Sector Swap Found,,33.76992,72.32643,L900,255.0
8466,32,No Sector Swap Found,Sector Split,33.78793,72.36002,L2100,155.0
8466,79,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L1800,285.0
8466,80,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L1800,320.0
8466,81,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L1800,340.0
8466,82,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L1800,15.0
8466,99,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L2100,285.0
8466,100,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L2100,320.0
8466,101,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L2100,340.0
8466,102,No Sector Swap Found - Massive MIMO,Massive MIMO,33.78793,72.36002,L2100,15.0
8466,201,No Sector Swap Found,,33.78793,72.36002,L900,60.0
8466,202,No Sector Swap Found,,33.78793,72.36002,L900,125.0
8466,203,No Sector Swap Found,,33.78793,72.36002,L900,285.0
8465,23,No Sector Swap Found,Sector Split,33.7728,72.3873,L2100,225.0
8465,22,No Sector Swap Found,Sector Split,33.7728,72.3873,L2100,85.0
8465,21,No Sector Swap Found,,33.7728,72.3873,L2100,10.0
8465,203,No Sector Swap Found,,33.7728,72.3873,L900,225.0
9225,21,No Sector Swap Found,,33.76846,72.36269,L2100,20.0
9225,13,No Sector Swap Found,Sector Split,33.76846,72.36269,L1800,330.0
9225,202,No Sector Swap Found,,33.76846,72.36269,L900,200.0
9225,2,No Sector Swap Found,,33.76846,72.36269,L1800,200.0
9225,33,No Sector Swap Found,Sector Split,33.76846,72.36269,L2100,330.0
9225,22,No Sector Swap Found,,33.76846,72.36269,L2100,200.0
9225,201,No Sector Swap Found,,33.76846,72.36269,L900,20.0
9225,203,No Sector Swap Found,,33.76846,72.36269,L900,300.0
9225,23,No Sector Swap Found,Sector Split,33.76846,72.36269,L2100,300.0
9225,1,No Sector Swap Found,,33.76846,72.36269,L1800,20.0
9225,3,No Sector Swap Found,Sector Split,33.76846,72.36269,L1800,300.0
8466,1,No Sector Swap Found,,33.78793,72.36002,L1800,60.0
8466,2,No Sector Swap Found,Sector Split,33.78793,72.36002,L1800,125.0
8466,12,No Sector Swap Found,Sector Split,33.78793,72.36002,L1800,155.0
8466,21,No Sector Swap Found,,33.78793,72.36002,L2100,60.0
8466,22,No Sector Swap Found,Sector Split,33.78793,72.36002,L2100,125.0
9677,201,No Sector Swap Found,,33.76923,72.37161,L900,60.0
9677,203,No Sector Swap Found,,33.76923,72.37161,L900,320.0
9677,2,No Sector Swap Found,Sector Split,33.76923,72.37161,L1800,165.0
9675,202,No Sector Swap Found,,33.75026,72.34631,L900,160.0
9675,11,No Sector Swap Found,Sector Split,33.75026,72.34631,L1800,95.0
9675,1,No Sector Swap Found,Sector Split,33.75026,72.34631,L1800,65.0
9675,2,No Sector Swap Found,,33.75026,72.34631,L1800,160.0
9675,203,No Sector Swap Found,,33.75026,72.34631,L900,315.0
9675,31,No Sector Swap Found,Sector Split,33.75026,72.34631,L2100,95.0
9675,23,No Sector Swap Found,Sector Split,33.75026,72.34631,L2100,315.0
9675,33,No Sector Swap Found,Sector Split,33.75026,72.34631,L2100,345.0
9675,201,No Sector Swap Found,,33.75026,72.34631,L900,65.0
9675,21,No Sector Swap Found,Sector Split,33.75026,72.34631,L2100,65.0
9675,13,No Sector Swap Found,Sector Split,33.75026,72.34631,L1800,345.0
9675,22,No Sector Swap Found,,33.75026,72.34631,L2100,160.0
9675,3,No Sector Swap Found,Sector Split,33.75026,72.34631,L1800,315.0
9678,201,No Sector Swap Found,,33.78157,72.39029,L900,65.0
9678,202,No Sector Swap Found,,33.78157,72.39029,L900,140.0
9678,11,No Sector Swap Found,Sector Split,33.78157,72.39029,L1800,95.0
9678,21,No Sector Swap Found,Sector Split,33.78157,72.39029,L2100,65.0
9678,1,No Sector Swap Found,Sector Split,33.78157,72.39029,L1800,65.0
9678,2,No Sector Swap Found,,33.78157,72.39029,L1800,140.0
9678,3,No Sector Swap Found,,33.78157,72.39029,L1800,300.0
9678,203,No Sector Swap Found,,33.78157,72.39029,L900,300.0
9677,23,No Sector Swap Found,,33.76923,72.37161,L2100,320.0
9677,22,No Sector Swap Found,Sector Split,33.76923,72.37161,L2100,165.0
9677,21,No Sector Swap Found,,33.76923,72.37161,L2100,60.0
9677,202,No Sector Swap Found,,33.76923,72.37161,L900,165.0
9677,3,No Sector Swap Found,,33.76923,72.37161,L1800,320.0
9677,1,No Sector Swap Found,,33.76923,72.37161,L1800,60.0
9677,12,No Sector Swap Found,Sector Split,33.76923,72.37161,L1800,195.0
9677,32,No Sector Swap Found,Sector Split,33.76923,72.37161,L2100,195.0
9912,12,No Sector Swap Found,Sector Split,33.75961,72.35986,L1800,165.0
9912,33,No Sector Swap Found,Sector Split,33.75961,72.35986,L2100,265.0
9912,31,No Sector Swap Found,Sector Split,33.75961,72.35986,L2100,80.0
9912,11,No Sector Swap Found,Sector Split,33.75961,72.35986,L1800,80.0
9912,2,No Sector Swap Found,Sector Split,33.75961,72.35986,L1800,135.0
9912,1,No Sector Swap Found,Sector Split,33.75961,72.35986,L1800,50.0
9912,3,No Sector Swap Found,Sector Split,33.75961,72.35986,L1800,235.0
9912,32,No Sector Swap Found,Sector Split,33.75961,72.35986,L2100,165.0
9912,203,No Sector Swap Found,,33.75961,72.35986,L900,235.0
9912,23,No Sector Swap Found,Sector Split,33.75961,72.35986,L2100,235.0
9912,21,No Sector Swap Found,Sector Split,33.75961,72.35986,L2100,50.0
9912,13,No Sector Swap Found,Sector Split,33.75961,72.35986,L1800,265.0
9678,23,No Sector Swap Found,,33.78157,72.39029,L2100,300.0
9678,31,No Sector Swap Found,Sector Split,33.78157,72.39029,L2100,95.0
9678,22,No Sector Swap Found,,33.78157,72.39029,L2100,140.0
50616,1,No Sector Swap Found,,33.75966,72.35221,L1800,45.0
50616,201,No Sector Swap Found,,33.75966,72.35221,L900,45.0
50616,3,No Sector Swap Found,,33.75966,72.35221,L1800,320.0
50616,23,No Sector Swap Found,,33.75966,72.35221,L2100,320.0
50616,22,No Sector Swap Found,Sector Split,33.75966,72.35221,L2100,195.0
9931,3,No Sector Swap Found,,33.77285,72.35841,L1800,245.0
9931,2,No Sector Swap Found,,33.77285,72.35841,L1800,120.0
9931,23,No Sector Swap Found,,33.77285,72.35841,L2100,245.0
9931,203,No Sector Swap Found,,33.77285,72.35841,L900,245.0
9931,22,No Sector Swap Found,,33.77285,72.35841,L2100,120.0
9931,202,No Sector Swap Found,,33.77285,72.35841,L900,120.0
9931,201,No Sector Swap Found,,33.77285,72.35841,L900,40.0
9931,1,No Sector Swap Found,,33.77285,72.35841,L1800,40.0
9931,21,No Sector Swap Found,,33.77285,72.35841,L2100,40.0
9912,201,No Sector Swap Found,,33.75961,72.35986,L900,50.0
9912,202,No Sector Swap Found,,33.75961,72.35986,L900,135.0
50618,23,No Sector Swap Found,Sector Split,33.77725,72.32622,L2100,260.0
50618,22,No Sector Swap Found,,33.77725,72.32622,L2100,180.0
50618,21,No Sector Swap Found,,33.77725,72.32622,L2100,80.0
50618,3,No Sector Swap Found,Sector Split,33.77725,72.32622,L1800,260.0
50618,203,No Sector Swap Found,,33.77725,72.32622,L900,260.0
50618,202,No Sector Swap Found,,33.77725,72.32622,L900,180.0
50618,1,No Sector Swap Found,,33.77725,72.32622,L1800,80.0
50618,2,No Sector Swap Found,,33.77725,72.32622,L1800,180.0
50616,21,No Sector Swap Found,,33.75966,72.35221,L2100,45.0
50616,12,No Sector Swap Found,Sector Split,33.75966,72.35221,L1800,225.0
50616,202,No Sector Swap Found,,33.75966,72.35221,L900,195.0
50616,32,No Sector Swap Found,Sector Split,33.75966,72.35221,L2100,225.0
50616,2,No Sector Swap Found,Sector Split,33.75966,72.35221,L1800,195.0
50616,203,No Sector Swap Found,,33.75966,72.35221,L900,320.0
50841,31,No Sector Swap Found,Sector Split,33.77168,72.3381,L2100,85.0
50841,21,No Sector Swap Found,Sector Split,33.77168,72.3381,L2100,55.0
50827,202,No Sector Swap Found,,33.77821,72.36049,L900,120.0
50827,33,No Sector Swap Found,Sector Split,33.77821,72.36049,L2100,335.0
50827,11,No Sector Swap Found,Sector Split,33.77821,72.36049,L1800,55.0
50827,21,Sector Swap Found Between 21 and 31,Sector Split,33.77821,72.36049,L2100,25.0
50827,22,No Sector Swap Found,,33.77821,72.36049,L2100,120.0
50827,203,No Sector Swap Found,,33.77821,72.36049,L900,305.0
50827,201,No Sector Swap Found,,33.77821,72.36049,L900,25.0
50827,13,No Sector Swap Found,Sector Split,33.77821,72.36049,L1800,335.0
50827,23,No Sector Swap Found,Sector Split,33.77821,72.36049,L2100,305.0
50827,31,Sector Swap Found Between 31 and 21,Sector Split,33.77821,72.36049,L2100,55.0
50827,3,No Sector Swap Found,Sector Split,33.77821,72.36049,L1800,305.0
